"","image","plant","surface","diameter","convexHull","das","tr"
"223","TRmock_PL15_PA_DAT9.tif",2,6.3777366,4.0522137,3.033575,9,"mock"
"224","TRmock_PL15_PA_DAT9.tif",3,7.3633633,4.641272,1.6156105,9,"mock"
"225","TRmock_PL15_PA_DAT9.tif",4,8.122308,4.927496,2.0545568,9,"mock"
"226","TRmock_PL610_PA_DAT10 2.tif",0,10.120395,5.1987147,1.3282529,10,"mock"
"227","TRmock_PL610_PA_DAT10 2.tif",1,9.745928,5.1832843,3.31072,10,"mock"
"228","TRmock_PL610_PA_DAT10 2.tif",2,8.117502,4.7335486,4.5226283,10,"mock"
"229","TRmock_PL610_PA_DAT10 2.tif",3,9.121151,4.7475095,0.69226146,10,"mock"
"230","TRmock_PL610_PA_DAT10 2.tif",4,9.678244,5.526573,2.308673,10,"mock"
"231","TRmock_PL610_PA_DAT11 2.tif",0,13.640775,6.18906,3.0620105,11,"mock"
"232","TRmock_PL610_PA_DAT11 2.tif",1,12.765085,5.789673,5.036067,11,"mock"
"233","TRmock_PL610_PA_DAT11 2.tif",2,10.509278,5.526935,2.688746,11,"mock"
"234","TRmock_PL610_PA_DAT11 2.tif",3,11.252003,5.74361,0.66202384,11,"mock"
"235","TRmock_PL610_PA_DAT11 2.tif",4,11.886592,6.296041,4.6497865,11,"mock"
"236","TRmock_PL610_PA_DAT12 2.tif",0,15.876958,6.8947487,3.7306426,12,"mock"
"237","TRmock_PL610_PA_DAT12 2.tif",1,15.987095,6.7085023,1.8713287,12,"mock"
"238","TRmock_PL610_PA_DAT12 2.tif",2,12.566838,6.1569777,2.7646403,12,"mock"
"239","TRmock_PL610_PA_DAT12 2.tif",3,13.519424,6.561843,1.3963376,12,"mock"
"240","TRmock_PL610_PA_DAT12 2.tif",4,15.525921,7.025626,7.5231624,12,"mock"
"241","TRmock_PL610_PA_DAT13 2.tif",0,17.69462,7.7792745,5.7233224,13,"mock"
"242","TRmock_PL610_PA_DAT13 2.tif",1,19.930002,7.928217,1.7874243,13,"mock"
"243","TRmock_PL610_PA_DAT13 2.tif",2,15.849724,6.92723,3.6982021,13,"mock"
"244","TRmock_PL610_PA_DAT13 2.tif",3,15.404571,7.358831,4.159977,13,"mock"
"245","TRmock_PL610_PA_DAT13 2.tif",4,20.929245,7.822861,10.845496,13,"mock"
"246","TRmock_PL610_PA_DAT14 2.tif",0,20.492102,8.31712,6.1059985,14,"mock"
"247","TRmock_PL610_PA_DAT14 2.tif",1,23.393913,8.307122,0.9491812,14,"mock"
"248","TRmock_PL610_PA_DAT14 2.tif",2,19.974457,7.4828525,4.648585,14,"mock"
"249","TRmock_PL610_PA_DAT14 2.tif",3,17.843605,7.96913,6.6502757,14,"mock"
"250","TRmock_PL610_PA_DAT14 2.tif",4,26.153547,8.775319,11.834327,14,"mock"
"251","TRmock_PL610_PA_DAT15 2.tif",0,25.147095,9.500343,4.9417496,15,"mock"
"252","TRmock_PL610_PA_DAT15 2.tif",1,26.352795,9.30889,4.0298147,15,"mock"
"253","TRmock_PL610_PA_DAT15 2.tif",2,23.545902,8.632365,3.8537958,15,"mock"
"254","TRmock_PL610_PA_DAT15 2.tif",3,21.954922,8.475175,8.722856,15,"mock"
"255","TRmock_PL610_PA_DAT15 2.tif",4,30.276678,9.609752,9.487006,15,"mock"
"256","TRmock_PL610_PA_DAT16 2.tif",0,29.359337,10.86529,2.739409,16,"mock"
"257","TRmock_PL610_PA_DAT16 2.tif",1,29.623665,10.080102,4.4467335,16,"mock"
"258","TRmock_PL610_PA_DAT16 2.tif",2,25.97252,9.79648,2.8619616,16,"mock"
"259","TRmock_PL610_PA_DAT16 2.tif",3,27.560297,10.110004,10.617012,16,"mock"
"260","TRmock_PL610_PA_DAT16 2.tif",4,38.10662,10.698806,12.670968,16,"mock"
"261","TRmock_PL610_PA_DAT17 2.tif",0,31.874065,11.249217,2.0689747,17,"mock"
"262","TRmock_PL610_PA_DAT17 2.tif",1,35.257477,11.063079,5.114765,17,"mock"
"263","TRmock_PL610_PA_DAT17 2.tif",2,34.245815,10.863105,5.636214,17,"mock"
"264","TRmock_PL610_PA_DAT17 2.tif",3,34.7951,10.540107,10.566549,17,"mock"
"265","TRmock_PL610_PA_DAT17 2.tif",4,45.790783,12.106833,12.639129,17,"mock"
"266","TRmock_PL610_PA_DAT18 2.tif",0,34.870995,10.416527,1.927799,18,"mock"
"267","TRmock_PL610_PA_DAT18 2.tif",1,40.99682,11.778822,4.664805,18,"mock"
"268","TRmock_PL610_PA_DAT18 2.tif",2,41.72112,11.761894,6.0825696,18,"mock"
"269","TRmock_PL610_PA_DAT18 2.tif",3,41.9462,11.412549,10.7826185,18,"mock"
"270","TRmock_PL610_PA_DAT18 2.tif",4,51.946445,12.731328,11.980108,18,"mock"
"271","TRmock_PL610_PA_DAT4.tif",0,2.0891998,2.0658925,0.040850837,4,"mock"
"272","TRmock_PL610_PA_DAT4.tif",1,2.2215645,2.3546762,0.3434274,4,"mock"
"273","TRmock_PL610_PA_DAT4.tif",2,2.060364,2.0929048,0.3638528,4,"mock"
"274","TRmock_PL610_PA_DAT4.tif",3,2.266821,2.24269,0.27954787,4,"mock"
"275","TRmock_PL610_PA_DAT4.tif",4,2.3453186,2.6235788,0.5803222,4,"mock"
"276","TRmock_PL610_PA_DAT5 2.tif",0,2.7229886,2.4681532,0.34603062,5,"mock"
"277","TRmock_PL610_PA_DAT5 2.tif",1,2.8169055,2.8119104,0.4631764,5,"mock"
"278","TRmock_PL610_PA_DAT5 2.tif",2,2.309474,2.3055618,0.3606488,5,"mock"
